Postnumre,Administrativ Region,Antall Postnumre
0001 - 1483,Oslo,666
"1300 - 1556, 1900 - 2170",Akershus,277
1501 - 1950,Østfold,227
2201 - 2616,Hedmark,159
2601 - 2985,Oppland,178
"3001 - 3058, 3300 - 3648",Buskerud,196
3060 - 3297,Vestfold,199
3650 - 3999,Telemark,188
"4001 - 4600, 5501 - 5595",Rogaland,304
4400 - 4720,Vest-Agder,153
4724 - 4994,Aust-Agder,118
5003 - 5994,Hordaland,489
6001 - 6699,Møre og Romsdal,298
6700 - 6996,Sogn og Fjordane,194
7003 - 7596,Sør-Trøndelag,320
"7500 - 7533, 7600 - 7994",Nord-Trøndelag,147
8001 - 8985,Nordland,380
9006 - 9498,Troms,231
9501 - 9991,Finnmark,119
